bias_2019-06-24_11-43-17_,current__1.0V/s_2019-06-24_11-43-17_,current__0.5V/s_2019-06-24_11-43-17_,current__0.1V/s_2019-06-24_11-43-17_
0.0,-1.756286e-09,-6.30671e-10,-5.682211e-10
0.05,-5.667109e-10,-5.954177e-10,-5.667115e-10
0.1,-5.853438e-10,-5.868542e-10,-5.732573e-10
0.15000000000000002,-6.024666e-10,-5.556285e-10,-5.657045e-10
0.2,-5.772861e-10,-5.843365e-10,-5.903804e-10
0.25,-5.863525e-10,-5.561342e-10,-5.692296e-10
0.30000000000000004,-5.556298e-10,-5.767824e-10,-5.616753e-10
0.35000000000000003,-5.813162e-10,-5.908841e-10,-5.516021e-10
0.4,-5.979361e-10,-5.737628e-10,-5.712428e-10
0.45,-5.747679e-10,-5.657047e-10,-5.536158e-10
0.5,-5.843376e-10,-5.772872e-10,-5.873586e-10
0.55,-5.702357e-10,-5.818193e-10,-5.697336e-10
0.6000000000000001,-5.667121e-10,-5.818185e-10,-5.662067e-10
0.65,-5.787988e-10,-5.893744e-10,-5.818198e-10
0.7000000000000001,-5.782941e-10,-5.702361e-10,-5.702351e-10
0.75,-5.727545e-10,-5.818196e-10,-5.803082e-10
0.8,-5.68726e-10,-5.566373e-10,-5.999502e-10
0.8500000000000001,-5.858497e-10,-5.621784e-10,-5.777908e-10
0.9,-5.616744e-10,-5.793021e-10,-6.090151e-10
0.9500000000000001,-5.556309e-10,-5.662057e-10,-5.823235e-10
1.0,-5.848403e-10,-5.777895e-10,-5.928993e-10
0.9500000000000001,-5.913896e-10,-5.908852e-10,-5.73761e-10
0.9,-5.309529e-10,-5.682217e-10,-5.596595e-10
0.8500000000000001,-6.195926e-10,-5.712425e-10,-6.221098e-10
0.8,-5.903807e-10,-5.586526e-10,-5.485801e-10
0.75,-5.636883e-10,-5.83833e-10,-6.407442e-10
0.7000000000000001,-5.818203e-10,-5.903807e-10,-5.888714e-10
0.65,-5.752726e-10,-5.702361e-10,-5.848418e-10
0.6000000000000001,-5.8031e-10,-5.913869e-10,-5.566384e-10
0.55,-5.818187e-10,-5.621784e-10,-5.908861e-10
0.5,-5.687246e-10,-5.818187e-10,-5.782946e-10
0.45,-5.672142e-10,-5.596577e-10,-5.641937e-10
0.4,-5.843375e-10,-5.838346e-10,-5.732576e-10
0.35000000000000003,-5.833293e-10,-6.019647e-10,-5.596607e-10
0.30000000000000004,-5.994478e-10,-5.969286e-10,-5.737602e-10
0.25,-5.893734e-10,-5.702369e-10,-5.752724e-10
0.2,-5.737613e-10,-5.969286e-10,-5.561341e-10
0.15000000000000002,-5.77286e-10,-5.803086e-10,-5.787973e-10
0.1,-5.833298e-10,-5.954164e-10,-5.833311e-10
0.05,-5.833293e-10,-5.717451e-10,-5.868555e-10
0.0,-5.777914e-10,-5.873579e-10,-5.732564e-10
-0.05,-5.999479e-10,-5.682199e-10,-5.803071e-10
-0.1,-5.546201e-10,-5.757741e-10,-5.682191e-10
-0.15000000000000002,-5.792992e-10,-5.591536e-10,-5.969263e-10
-0.2,-5.712411e-10,-5.934003e-10,-5.687234e-10
-0.25,-6.18583e-10,-5.818181e-10,-5.646944e-10
-0.30000000000000004,-5.8635e-10,-5.994439e-10,-5.803079e-10
-0.35000000000000003,-5.717449e-10,-5.93906e-10,-5.515999e-10
-0.4,-5.485776e-10,-6.049851e-10,-5.717468e-10
-0.45,-5.858473e-10,-5.69227e-10,-5.662054e-10
-0.5,-5.833296e-10,-5.883657e-10,-5.662052e-10
-0.55,-5.858466e-10,-5.747665e-10,-5.782929e-10
