date,time,pressure,pressure_setpoint,mfc1_Ar,mfc2_Ar,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2019-06-27_14-56-42,234.068,,,,,,,,,,,,,,pbi
2019-06-27_14-56-44,234.101,,,,,,,,,,,,,,pbi
2019-06-27_14-56-46,234.134,,,,,,,,,,,,,,pbi
2019-06-27_14-56-48,234.168,,,,,,,,,,,,,,pbi
2019-06-27_14-56-50,234.201,,,,,,,,,,,,,,pbi
2019-06-27_14-56-52,234.235,,,,,,,,,,,,,,pbi
2019-06-27_14-56-54,234.268,,,,,,,,,,,,,,pbi
2019-06-27_14-56-56,234.301,,,,,,,,,,,,,,pbi
2019-06-27_14-56-58,234.335,,,,,,,,,,,,,,pbi
2019-06-27_14-57-00,234.368,,,,,,,,,,,,,,pbi
2019-06-27_14-57-02,234.401,,,,,,,,,,,,,,pbi
2019-06-27_14-57-04,234.435,,,,,,,,,,,,,,pbi
2019-06-27_14-57-06,234.468,,,,,,,,,,,,,,pbi
2019-06-27_14-57-08,234.501,,,,,,,,,,,,,,pbi
2019-06-27_14-57-10,234.535,,,,,,,,,,,,,,pbi
2019-06-27_14-57-12,234.568,,,,,,,,,,,,,,pbi
2019-06-27_14-57-14,234.601,,,,,,,,,,,,,,pbi
2019-06-27_14-57-16,234.635,,,,,,,,,,,,,,pbi
2019-06-27_14-57-18,234.668,,,,,,,,,,,,,,pbi
2019-06-27_14-57-20,234.701,,,,,,,,,,,,,,pbi
2019-06-27_14-57-22,234.735,,,,,,,,,,,,,,pbi
2019-06-27_14-57-24,234.768,,,,,,,,,,,,,,pbi
2019-06-27_14-57-26,234.801,,,,,,,,,,,,,,pbi
2019-06-27_14-57-28,234.835,,,,,,,,,,,,,,pbi
2019-06-27_14-57-30,234.868,,,,,,,,,,,,,,pbi
2019-06-27_14-57-32,234.904,,,,,,,,,,,,,,pbi
2019-06-27_14-57-34,234.938,,,,,,,,,,,,,,pbi
2019-06-27_14-57-36,234.971,,,,,,,,,,,,,,pbi
2019-06-27_14-57-38,235.004,,,,,,,,,,,,,,pbi
2019-06-27_14-57-40,235.039,,,,,,,,,,,,,,pbi
2019-06-27_14-57-42,235.071,,,,,,,,,,,,,,pbi
2019-06-27_14-57-44,235.105,,,,,,,,,,,,,,pbi
2019-06-27_14-57-46,235.139,,,,,,,,,,,,,,pbi
2019-06-27_14-57-48,235.171,,,,,,,,,,,,,,pbi
2019-06-27_14-57-50,235.205,,,,,,,,,,,,,,pbi
2019-06-27_14-57-52,235.238,,,,,,,,,,,,,,pbi
2019-06-27_14-57-54,235.272,,,,,,,,,,,,,,pbi
2019-06-27_14-57-56,235.305,,,,,,,,,,,,,,pbi
2019-06-27_14-57-58,235.338,,,,,,,,,,,,,,pbi
2019-06-27_14-58-00,235.372,,,,,,,,,,,,,,pbi
2019-06-27_14-58-02,235.405,,,,,,,,,,,,,,pbi
2019-06-27_14-58-04,235.438,,,,,,,,,,,,,,pbi
2019-06-27_14-58-06,235.472,,,,,,,,,,,,,,pbi
2019-06-27_14-58-08,235.505,,,,,,,,,,,,,,pbi
2019-06-27_14-58-10,235.539,,,,,,,,,,,,,,pbi
2019-06-27_14-58-12,235.571,,,,,,,,,,,,,,pbi
2019-06-27_14-58-14,235.604,,,,,,,,,,,,,,pbi
2019-06-27_14-58-16,235.638,,,,,,,,,,,,,,pbi
2019-06-27_14-58-18,235.671,,,,,,,,,,,,,,pbi
2019-06-27_14-58-20,235.705,,,,,,,,,,,,,,pbi
2019-06-27_14-58-22,235.739,,,,,,,,,,,,,,pbi
2019-06-27_14-58-24,235.772,,,,,,,,,,,,,,pbi
2019-06-27_14-58-26,235.805,,,,,,,,,,,,,,pbi
2019-06-27_14-58-28,235.839,,,,,,,,,,,,,,pbi
2019-06-27_14-58-30,235.872,,,,,,,,,,,,,,pbi
2019-06-27_14-58-32,235.905,,,,,,,,,,,,,,pbi
2019-06-27_14-58-34,235.939,,,,,,,,,,,,,,pbi
2019-06-27_14-58-36,235.971,,,,,,,,,,,,,,pbi
2019-06-27_14-58-38,236.005,,,,,,,,,,,,,,pbi
2019-06-27_14-58-40,236.038,,,,,,,,,,,,,,pbi
2019-06-27_14-58-42,236.072,,,,,,,,,,,,,,pbi
2019-06-27_14-58-44,236.105,,,,,,,,,,,,,,pbi
2019-06-27_14-58-46,236.139,,,,,,,,,,,,,,pbi
2019-06-27_14-58-48,236.172,,,,,,,,,,,,,,pbi
2019-06-27_14-58-50,236.205,,,,,,,,,,,,,,pbi
2019-06-27_14-58-52,236.238,,,,,,,,,,,,,,pbi
2019-06-27_14-58-54,236.272,,,,,,,,,,,,,,pbi
2019-06-27_14-58-56,236.305,,,,,,,,,,,,,,pbi
2019-06-27_14-58-58,236.339,,,,,,,,,,,,,,pbi
2019-06-27_14-59-00,236.372,,,,,,,,,,,,,,pbi
2019-06-27_14-59-02,236.405,,,,,,,,,,,,,,pbi
2019-06-27_14-59-04,236.438,,,,,,,,,,,,,,pbi
2019-06-27_14-59-06,236.472,,,,,,,,,,,,,,pbi
2019-06-27_14-59-08,236.505,,,,,,,,,,,,,,pbi
2019-06-27_14-59-10,236.538,,,,,,,,,,,,,,pbi
2019-06-27_14-59-12,236.572,,,,,,,,,,,,,,pbi
2019-06-27_14-59-14,236.606,,,,,,,,,,,,,,pbi
2019-06-27_14-59-16,236.638,,,,,,,,,,,,,,pbi
2019-06-27_14-59-18,236.672,,,,,,,,,,,,,,pbi
2019-06-27_14-59-20,236.706,,,,,,,,,,,,,,pbi
2019-06-27_14-59-22,236.739,,,,,,,,,,,,,,pbi
2019-06-27_14-59-24,236.772,,,,,,,,,,,,,,pbi
2019-06-27_14-59-26,236.806,,,,,,,,,,,,,,pbi
2019-06-27_14-59-28,236.838,,,,,,,,,,,,,,pbi
2019-06-27_14-59-30,236.873,,,,,,,,,,,,,,pbi
2019-06-27_14-59-32,236.905,,,,,,,,,,,,,,pbi
2019-06-27_14-59-34,236.938,,,,,,,,,,,,,,pbi
2019-06-27_14-59-36,236.973,,,,,,,,,,,,,,pbi
2019-06-27_14-59-38,237.005,,,,,,,,,,,,,,pbi
2019-06-27_14-59-40,237.038,,,,,,,,,,,,,,pbi
2019-06-27_14-59-42,237.072,,,,,,,,,,,,,,pbi
2019-06-27_14-59-44,237.105,,,,,,,,,,,,,,pbi
2019-06-27_14-59-46,237.139,,,,,,,,,,,,,,pbi
2019-06-27_14-59-48,237.172,,,,,,,,,,,,,,pbi
2019-06-27_14-59-50,237.206,,,,,,,,,,,,,,pbi
2019-06-27_14-59-52,237.238,,,,,,,,,,,,,,pbi
2019-06-27_14-59-54,237.272,,,,,,,,,,,,,,pbi
2019-06-27_14-59-56,237.305,,,,,,,,,,,,,,pbi
2019-06-27_14-59-58,237.339,,,,,,,,,,,,,,pbi
2019-06-27_15-00-00,237.372,,,,,,,,,,,,,,pbi
