date,time,pressure,pressure_setpoint,mfc1_Ar,mfc2_Ar,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2019-06-27_17-30-05,14.308,,,,,3.505,2.0,,,,,,,,pbi
2019-06-27_17-30-08,14.358,,,,,3.465,2.0,,,,,,,,pbi
2019-06-27_17-30-11,14.407,,,,,3.529,2.0,,,,,,,,pbi
2019-06-27_17-30-14,14.457,,,,,3.529,2.0,,,,,,,,pbi
2019-06-27_17-30-17,14.507,,,,,3.521,2.0,,,,,,,,pbi
2019-06-27_17-30-20,14.558,,,,,3.529,2.0,,,,,,,,pbi
2019-06-27_17-30-23,14.608,,,,,3.529,2.0,,,,,,,,pbi
2019-06-27_17-30-26,14.657,,,,,3.521,2.0,,,,,,,,pbi
2019-06-27_17-30-29,14.707,,,,,3.529,2.0,,,,,,,,pbi
2019-06-27_17-30-32,14.757,,,,,3.537,2.0,,,,,,,,pbi
2019-06-27_17-30-35,14.807,,,,,3.521,2.0,,,,,,,,pbi
2019-06-27_17-30-38,14.857,,,,,3.529,2.0,,,,,,,,pbi
2019-06-27_17-30-41,14.907,,,,,3.537,2.0,,,,,,,,pbi
2019-06-27_17-30-44,14.957,,,,,3.545,2.0,,,,,,,,pbi
2019-06-27_17-30-47,15.007,,,,,3.537,2.0,,,,,,,,pbi
2019-06-27_17-30-50,15.058,,,,,3.545,2.0,,,,,,,,pbi
2019-06-27_17-30-53,15.107,,,,,3.537,2.0,,,,,,,,pbi
2019-06-27_17-30-56,15.158,,,,,3.553,2.0,,,,,,,,pbi
2019-06-27_17-30-59,15.207,,,,,3.562,2.0,,,,,,,,pbi
2019-06-27_17-31-02,15.257,,,,,3.553,2.0,,,,,,,,pbi
2019-06-27_17-31-05,15.307,,,,,3.553,2.0,,,,,,,,pbi
2019-06-27_17-31-08,15.357,,,,,3.545,2.0,,,,,,,,pbi
2019-06-27_17-31-11,15.407,,,,,3.553,2.0,,,,,,,,pbi
2019-06-27_17-31-14,15.458,,,,,3.562,2.0,,,,,,,,pbi
2019-06-27_17-31-17,15.507,,,,,3.553,2.0,,,,,,,,pbi
2019-06-27_17-31-20,15.557,,,,,3.57,2.0,,,,,,,,pbi
2019-06-27_17-31-23,15.608,,,,,3.562,2.0,,,,,,,,pbi
2019-06-27_17-31-26,15.658,,,,,3.562,2.0,,,,,,,,pbi
2019-06-27_17-31-29,15.708,,,,,3.562,2.0,,,,,,,,pbi
2019-06-27_17-31-32,15.758,,,,,3.57,2.0,,,,,,,,pbi
2019-06-27_17-31-35,15.808,,,,,3.578,2.0,,,,,,,,pbi
2019-06-27_17-31-38,15.858,,,,,3.57,2.0,,,,,,,,pbi
2019-06-27_17-31-41,15.908,,,,,3.586,2.0,,,,,,,,pbi
2019-06-27_17-31-44,15.958,,,,,3.586,2.0,,,,,,,,pbi
2019-06-27_17-31-47,16.008,,,,,3.57,2.0,,,,,,,,pbi
2019-06-27_17-31-50,16.058,,,,,3.57,2.0,,,,,,,,pbi
2019-06-27_17-31-52,16.091,,,,,3.594,2.0,,,,,,,,pbi
2019-06-27_17-31-54,16.125,,,,,3.57,2.0,,,,,,,,pbi
2019-06-27_17-31-56,16.158,,,,,3.594,2.0,,,,,,,,pbi
2019-06-27_17-31-58,16.192,,,,,3.578,2.0,,,,,,,,pbi
2019-06-27_17-32-00,16.226,,,,,3.594,2.0,,,,,,,,pbi
2019-06-27_17-32-02,16.26,,,,,3.603,2.0,,,,,,,,pbi
2019-06-27_17-32-04,16.293,,,,,3.578,2.0,,,,,,,,pbi
2019-06-27_17-32-06,16.326,,,,,3.753,2.0,,,,,,,,pbi
2019-06-27_17-32-08,16.359,,,,,3.611,2.0,,,,,,,,pbi
2019-06-27_17-32-10,16.393,,,,,3.603,2.0,,,,,,,,pbi
2019-06-27_17-32-12,16.426,,,,,3.586,2.0,,,,,,,,pbi
2019-06-27_17-32-14,16.46,,,,,3.611,2.0,,,,,,,,pbi
2019-06-27_17-32-16,16.492,,,,,3.594,2.0,,,,,,,,pbi
2019-06-27_17-32-18,16.526,,,,,3.603,2.0,,,,,,,,pbi
2019-06-27_17-32-20,16.56,,,,,3.603,2.0,,,,,,,,pbi
2019-06-27_17-32-22,16.592,,,,,3.619,2.0,,,,,,,,pbi
2019-06-27_17-32-24,16.626,,,,,3.603,2.0,,,,,,,,pbi
2019-06-27_17-32-26,16.659,,,,,3.611,2.0,,,,,,,,pbi
2019-06-27_17-32-28,16.693,,,,,3.611,2.0,,,,,,,,pbi
2019-06-27_17-32-30,16.726,,,,,3.627,2.0,,,,,,,,pbi
2019-06-27_17-32-32,16.759,,,,,3.627,2.0,,,,,,,,pbi
2019-06-27_17-32-34,16.793,,,,,3.603,2.0,,,,,,,,pbi
2019-06-27_17-32-36,16.825,,,,,3.619,2.0,,,,,,,,pbi
2019-06-27_17-32-38,16.859,,,,,3.619,2.0,,,,,,,,pbi
2019-06-27_17-32-40,16.892,,,,,3.619,2.0,,,,,,,,pbi
2019-06-27_17-32-42,16.926,,,,,3.627,2.0,,,,,,,,pbi
2019-06-27_17-32-44,16.959,,,,,3.636,2.0,,,,,,,,pbi
2019-06-27_17-32-46,16.992,,,,,3.627,2.0,,,,,,,,pbi
2019-06-27_17-32-48,17.026,,,,,3.627,2.0,,,,,,,,pbi
2019-06-27_17-32-50,17.059,,,,,3.627,2.0,,,,,,,,pbi
2019-06-27_17-32-52,17.092,,,,,3.627,2.0,,,,,,,,pbi
2019-06-27_17-32-54,17.126,,,,,3.611,2.0,,,,,,,,pbi
2019-06-27_17-32-56,17.159,,,,,3.636,2.0,,,,,,,,pbi
2019-06-27_17-32-58,17.193,,,,,3.636,2.0,,,,,,,,pbi
2019-06-27_17-33-00,17.226,,,,,3.644,2.0,,,,,,,,pbi
2019-06-27_17-33-02,17.259,,,,,3.652,2.0,,,,,,,,pbi
2019-06-27_17-33-04,17.292,,,,,3.652,2.0,,,,,,,,pbi
2019-06-27_17-33-06,17.326,,,,,3.652,2.0,,,,,,,,pbi
2019-06-27_17-33-08,17.359,,,,,3.652,2.0,,,,,,,,pbi
2019-06-27_17-33-10,17.393,,,,,3.644,2.0,,,,,,,,pbi
2019-06-27_17-33-12,17.426,,,,,3.652,2.0,,,,,,,,pbi
2019-06-27_17-33-14,17.459,,,,,3.661,2.0,,,,,,,,pbi
2019-06-27_17-33-16,17.493,,,,,3.644,2.0,,,,,,,,pbi
2019-06-27_17-33-18,17.526,,,,,3.652,2.0,,,,,,,,pbi
2019-06-27_17-33-20,17.56,,,,,3.652,2.0,,,,,,,,pbi
2019-06-27_17-33-22,17.592,,,,,3.644,2.0,,,,,,,,pbi
2019-06-27_17-33-24,17.626,,,,,3.652,2.0,,,,,,,,pbi
2019-06-27_17-33-26,17.66,,,,,3.644,2.0,,,,,,,,pbi
2019-06-27_17-33-28,17.693,,,,,3.669,2.0,,,,,,,,pbi
2019-06-27_17-33-30,17.726,,,,,3.661,2.0,,,,,,,,pbi
2019-06-27_17-33-32,17.759,,,,,3.619,2.0,,,,,,,,pbi
2019-06-27_17-33-34,17.792,,,,,3.661,2.0,,,,,,,,pbi
2019-06-27_17-33-36,17.826,,,,,3.661,2.0,,,,,,,,pbi
2019-06-27_17-33-38,17.859,,,,,3.661,2.0,,,,,,,,pbi
2019-06-27_17-33-40,17.893,,,,,3.644,2.0,,,,,,,,pbi
2019-06-27_17-33-42,17.926,,,,,3.677,2.0,,,,,,,,pbi
2019-06-27_17-33-44,17.959,,,,,3.677,2.0,,,,,,,,pbi
2019-06-27_17-33-46,17.993,,,,,3.669,2.0,,,,,,,,pbi
2019-06-27_17-33-48,18.026,,,,,3.644,2.0,,,,,,,,pbi
2019-06-27_17-33-50,18.059,,,,,3.677,2.0,,,,,,,,pbi
2019-06-27_17-33-52,18.093,,,,,3.686,2.0,,,,,,,,pbi
2019-06-27_17-33-54,18.126,,,,,3.703,2.0,,,,,,,,pbi
2019-06-27_17-33-56,18.16,,,,,3.677,2.0,,,,,,,,pbi
2019-06-27_17-33-58,18.192,,,,,3.661,2.0,,,,,,,,pbi
2019-06-27_17-34-00,18.226,,,,,3.686,2.0,,,,,,,,pbi
2019-06-27_17-34-02,18.26,,,,,3.694,2.0,,,,,,,,pbi
2019-06-27_17-34-04,18.293,,,,,3.677,2.0,,,,,,,,pbi
2019-06-27_17-34-06,18.326,,,,,3.677,2.0,,,,,,,,pbi
