freq__2019-06-28_12-53-54_,rs__2019-06-28_12-53-54_,xs__2019-06-28_12-53-54_,freq__2019-06-28_13-04-33_,rs__2019-06-28_13-04-33_,xs__2019-06-28_13-04-33_
44570135.0,10.0859375,-132.375,44570135.0,10.03125,-132.5
44570165.0,10.140625,-132.0,44570165.0,10.078125,-132.0
44570195.0,10.1796875,-131.5,44570195.0,10.125,-131.625
44570225.0,10.2109375,-131.125,44570225.0,10.203125,-131.25
44570255.0,10.28125,-130.625,44570255.0,10.2109375,-130.75
44570285.0,10.3359375,-130.25,44570285.0,10.2890625,-130.25
44570315.0,10.4140625,-129.625,44570315.0,10.3515625,-129.75
44570345.0,10.484375,-129.125,44570345.0,10.3984375,-129.25
44570375.0,10.5625,-128.625,44570375.0,10.4921875,-128.625
44570405.0,10.6171875,-128.0,44570405.0,10.5703125,-128.125
44570435.0,10.7109375,-127.4375,44570435.0,10.6328125,-127.5
44570465.0,10.7734375,-126.75,44570465.0,10.7421875,-126.8125
44570495.0,10.8984375,-126.0625,44570495.0,10.8359375,-126.125
44570525.0,11.0078125,-125.3125,44570525.0,10.9453125,-125.4375
44570555.0,11.1328125,-124.5,44570555.0,11.0546875,-124.625
44570585.0,11.28125,-123.6875,44570585.0,11.21875,-123.8125
44570615.0,11.4140625,-122.8125,44570615.0,11.3359375,-122.9375
44570645.0,11.5859375,-121.875,44570645.0,11.4921875,-122.0
44570675.0,11.75,-120.9375,44570675.0,11.6953125,-121.0
44570705.0,11.9609375,-119.8125,44570705.0,11.8984375,-119.9375
44570735.0,12.1796875,-118.625,44570735.0,12.125,-118.8125
44570765.0,12.4375,-117.375,44570765.0,12.3984375,-117.5625
44570795.0,12.75,-116.0625,44570795.0,12.671875,-116.1875
44570825.0,13.09375,-114.625,44570825.0,13.015625,-114.8125
44570855.0,13.453125,-113.0625,44570855.0,13.3984375,-113.1875
44570885.0,13.9375,-111.3125,44570885.0,13.84375,-111.5
44570915.0,14.4375,-109.5,44570915.0,14.328125,-109.6875
44570945.0,15.046875,-107.4375,44570945.0,14.9375,-107.625
44570975.0,15.75,-105.1875,44570975.0,15.6484375,-105.375
44571005.0,16.578125,-102.6875,44571005.0,16.453125,-102.875
44571035.0,17.5625,-99.9375,44571035.0,17.4375,-100.125
44571065.0,18.78125,-96.8125,44571065.0,18.609375,-97.0625
44571095.0,20.203125,-93.3125,44571095.0,20.03125,-93.625
44571125.0,22.015625,-89.375,44571125.0,21.765625,-89.75
44571156.0,24.234375,-84.9375,44571156.0,23.921875,-85.25
44571186.0,26.984375,-79.8125,44571186.0,26.640625,-80.1875
44571216.0,30.6875,-73.6875,44571216.0,30.28125,-74.125
44571246.0,35.34375,-66.8125,44571246.0,34.875,-67.3125
44571276.0,41.53125,-58.9375,44571276.0,40.96875,-59.5
44571306.0,49.84375,-49.875,44571306.0,49.125,-50.53125
44571336.0,61.28125,-39.625,44571336.0,60.3125,-40.3125
44571366.0,77.375,-28.546875,44571366.0,76.0,-29.28125
